host_t,n,gx,gy,gz,ax,ay,az,temp
451772.551374,74833,35,-25,-1,-392,-283,8246,-1786
451772.561356,74834,27,-25,-8,-392,-288,8244,-1786
451772.571384,74835,30,-26,-7,-386,-284,8249,-1794
451772.581354,74836,26,-25,0,-394,-288,8247,-1794
451772.592369,74837,24,-26,-5,-390,-289,8249,-1790
451772.601448,74838,28,-25,-6,-391,-281,8257,-1790
451772.611780,74839,27,-29,-7,-390,-290,8252,-1788
451772.621255,74840,26,-22,-4,-392,-289,8242,-1788
451772.630413,74841,28,-28,-4,-379,-281,8262,-1780
451772.640431,74842,27,-20,-5,-391,-285,8247,-1784
451772.650372,74843,28,-25,-3,-393,-288,8251,-1784
451772.660359,74844,27,-19,-7,-389,-290,8256,-1788
451772.670600,74845,27,-25,-4,-382,-283,8242,-1788
451772.680333,74846,28,-23,-10,-394,-295,8242,-1782
451772.690307,74847,30,-25,-4,-396,-284,8254,-1782
451772.700273,74848,23,-25,-6,-387,-286,8242,-1790
451772.710262,74849,24,-28,-3,-387,-288,8246,-1790
451772.723968,74850,24,-24,-8,-386,-282,8252,-1790
451772.729399,74851,25,-26,-4,-390,-281,8248,-1790
451772.739574,74852,28,-26,-6,-391,-289,8248,-1782
451772.749346,74853,27,-22,-5,-398,-286,8245,-1782
451772.759351,74854,33,-20,-2,-386,-282,8249,-1788
451772.769347,74855,36,-21,-5,-398,-284,8238,-1784
451772.779595,74856,31,-25,-8,-388,-281,8243,-1784
451772.789289,74857,29,-21,-7,-395,-275,8245,-1784
451772.798438,74858,28,-28,-4,-390,-284,8249,-1784
451772.808754,74859,27,-21,-8,-400,-288,8249,-1788
451772.818421,74860,28,-29,-7,-383,-283,8251,-1788
451772.828377,74861,29,-21,-7,-384,-280,8238,-1782
451772.838356,74862,24,-22,-8,-394,-289,8241,-1782
451772.848431,74863,21,-21,-9,-395,-289,8248,-1784
451772.859629,74864,25,-28,-7,-402,-295,8250,-1784
451772.868619,74865,31,-22,-7,-386,-287,8258,-1786
451772.878303,74866,24,-25,-9,-389,-290,8239,-1782
451772.887790,74867,33,-25,-6,-396,-284,8251,-1782
